userId,houseNumber,street,city,province,country,postalCode
46,165,Mifflin,Nantes,Quebec,France,44324 CEDEX 3,1
47,236,Independence,Jarocin,Manitoba,Poland,63-202,1
48,838,Bunker Hill,Wilkowice,British Columbia,Poland,43-365,1
49,571,Harper,Czudec,Manitoba,Poland,38-120,1
50,19,Stuart,Poitiers,Quebec,France,86054 CEDEX 9,1
51,478,Morning,Salon-de-Provence,Manitoba,France,13662 CEDEX,1
52,246,Glendale,Cergy-Pontoise,Ontario,France,95032 CEDEX,1
53,277,Di Loreto,Carpentras,British Columbia,France,84977 CEDEX,1
54,976,Vermont,Domont,Nova Scotia,France,95334 CEDEX,1
55,403,Saint Paul,Alkmaar,Quebec,Netherlands,1819,1
56,916,Fisk,Paris 08,Manitoba,France,75413 CEDEX 08,1
57,642,Kings,Bielefeld,Manitoba,Germany,33619,1
58,150,Spenser,Giedlarowa,Quebec,Poland,40-401,1
59,464,Barby,Le Havre,Prince Edward Island,France,76086 CEDEX,1
60,806,Declaration,Paris 08,Alberta,France,75413 CEDEX 08,1
61,527,Luster,Paris 11,British Columbia,France,75542 CEDEX 11,1
62,486,Dexter,Bastia,New Brunswick,France,20414 CEDEX 9,1
63,787,Hooker,Luboń,Nova Scotia,Poland,62-031,1
64,739,Shelley,Roermond,New Brunswick,Netherlands,6044,1
65,537,Fairfield,Drawsko,Prince Edward Island,Poland,64-733,1
66,882,Mcguire,Pyskowice,British Columbia,Poland,44-120,1
67,936,Monterey,Działoszyce,Saskatchewan,Poland,28-440,1
68,757,Sutherland,Niort,British Columbia,France,79021 CEDEX,1
69,757,Moland,Paris 11,Saskatchewan,France,75128 CEDEX 11,1
70,378,Sauthoff,Kościerzyna,Saskatchewan,Poland,83-401,1
71,923,Farmco,Jakubów,Saskatchewan,Poland,05-306,1
72,972,Eastwood,Le Havre,Nova Scotia,France,76069 CEDEX,1
73,905,Sage,Lyon,Saskatchewan,France,69446 CEDEX 03,1
74,197,Eagan,Fontenay-sous-Bois,New Brunswick,France,94726 CEDEX,1
75,953,Ramsey,Konstantynów,Saskatchewan,Poland,21-543,1
76,469,Kings,Biała Piska,Alberta,Poland,12-230,1
77,203,Bluestem,Düsseldorf,Manitoba,Germany,40591,1
78,611,Derek,Orléans,Alberta,France,45979 CEDEX 9,1
79,3,Buena Vista,Rueil-Malmaison,Quebec,France,92509 CEDEX,1
80,609,Milwaukee,Harderwijk,Manitoba,Netherlands,3844,1
81,376,Lien,Paradyż,Quebec,Poland,26-333,1
82,292,Stuart,Bojano,Newfoundland and Labrador,Poland,84-208,1
83,613,Parkside,Brok,Prince Edward Island,Poland,07-306,1
84,254,Melrose,Metz,Quebec,France,57076 CEDEX 03,1
85,436,Vermont,Lidzbark,Prince Edward Island,Poland,13-230,1
86,408,Elmside,Paris La Défense,Alberta,France,92907 CEDEX,1
87,428,Carberry,Paradyż,Prince Edward Island,Poland,26-333,1
88,988,Badeau,Chorkówka,Newfoundland and Labrador,Poland,38-458,1
89,630,Eggendart,Lugo,Manitoba,Spain,27294,1
90,419,Sunbrook,Stare Kurowo,Alberta,Poland,66-540,1
91,576,Mesta,Wyśmierzyce,New Brunswick,Poland,26-811,1
92,834,Express,Nowa Ruda,Prince Edward Island,Poland,57-403,1
93,255,Redwing,Chemnitz,Ontario,Germany,09123,1
94,241,Dovetail,Vitry-sur-Seine,British Columbia,France,94785 CEDEX,1
95,110,Nelson,Klimontów,British Columbia,Poland,32-112,1
96,844,Coleman,Osieck,Newfoundland and Labrador,Poland,08-445,1
97,758,Havey,Bry-sur-Marne,Manitoba,France,94364 CEDEX,1
98,769,Kedzie,Olsztynek,Manitoba,Poland,11-015,1
99,16,Fulton,Ochla,Manitoba,Poland,65-980,1
100,324,Marquette,Dunkerque,Ontario,France,59640,1
101,687,Holy Cross,Cahors,Saskatchewan,France,46091 CEDEX 9,1
102,370,Old Shore,Siemkowice,Manitoba,Poland,98-354,1
103,447,Scofield,Żywiec,Ontario,Poland,34-330,1
104,704,Helena,Paris 16,Newfoundland and Labrador,France,75215 CEDEX 16,1
105,929,Luster,Jastrzębia,Prince Edward Island,Poland,26-631,1
106,93,Petterle,Bordeaux,Saskatchewan,France,33050 CEDEX,1
107,813,Hoard,Mników,Manitoba,Poland,32-064,1
108,351,Russell,Chorkówka,Ontario,Poland,38-458,1
109,268,Bobwhite,Polanka Wielka,Nova Scotia,Poland,32-607,1
110,132,Marcy,Radom,Newfoundland and Labrador,Poland,26-640,1
111,787,Londonderry,Le Mans,Ontario,France,72080 CEDEX 9,1
112,786,Erie,Massy,Prince Edward Island,France,91304 CEDEX,1
113,810,Drewry,Siewierz,Saskatchewan,Poland,42-470,1
114,837,Division,Marseille,Alberta,France,13369 CEDEX 11,1
115,565,Novick,Décines-Charpieu,Ontario,France,69154 CEDEX,1
116,867,Rowland,Chyżne,Nova Scotia,Poland,02-983,1
117,891,Florence,Troyes,Ontario,France,10014 CEDEX,1
118,832,Ilene,Osiek nad Notecią,Saskatchewan,Poland,75-571,1
119,674,Truax,Villejuif,Alberta,France,94809 CEDEX,1
120,614,Basil,Zblewo,Nova Scotia,Poland,83-210,1
121,74,Thompson,Węgorzyno,Nova Scotia,Poland,73-155,1
122,712,Lerdahl,Berlin,New Brunswick,Germany,10409,1
123,397,Prairieview,Toulouse,Alberta,France,31059 CEDEX 9,1
124,589,Iowa,Lipiany,Quebec,Poland,74-240,1
125,638,Thackeray,Saint-Germain-en-Laye,New Brunswick,France,78105 CEDEX,1
126,967,Johnson,Cergy-Pontoise,New Brunswick,France,95032 CEDEX,1
127,454,Anniversary,Nysa,Alberta,Poland,48-304,1
128,553,Loomis,Zamość,New Brunswick,Poland,22-410,1
129,968,Graedel,Oksa,British Columbia,Poland,28-363,1
130,133,Canary,München,British Columbia,Germany,81679,1
131,402,North,Bodzentyn,Nova Scotia,Poland,26-010,1
132,295,Acker,Roscoff,Newfoundland and Labrador,France,29688 CEDEX,1
133,762,Lunder,Spiczyn,Ontario,Poland,21-077,1
134,747,Packers,La Chapelle-sur-Erdre,New Brunswick,France,44244 CEDEX,1
135,885,Dawn,Łapanów,New Brunswick,Poland,32-740,1
136,318,La Follette,Solec Nad Wisłą,Manitoba,Poland,80-201,1
137,195,Huxley,Jaworzynka,Newfoundland and Labrador,Poland,43-476,1
138,939,Holmberg,Marseille,Quebec,France,13348 CEDEX 20,1
139,526,Macpherson,Laval,Nova Scotia,France,53009 CEDEX,1
140,220,Dahle,La Rochelle,Alberta,France,17014 CEDEX 1,1
141,949,Kedzie,Poręba Spytkowska,Nova Scotia,Poland,32-865,1
142,698,Oneill,Eindhoven,New Brunswick,Netherlands,5644,1
143,340,Macpherson,Lipinki Łużyckie,Quebec,Poland,68-213,1
144,498,Shelley,Düsseldorf,Manitoba,Germany,40225,1
145,102,Almo,Zwolle,British Columbia,Netherlands,8039,1
146,662,Lighthouse Bay,Boulogne-Billancourt,Saskatchewan,France,92660 CEDEX,1
147,931,Harper,Tournon-sur-Rhône,New Brunswick,France,07309 CEDEX,1
148,833,Transport,Szprotawa,Manitoba,Poland,67-300,1
149,309,Gina,Stuttgart,Newfoundland and Labrador,Germany,70567,1
150,718,Doe Crossing,Roissy Charles-de-Gaulle,Alberta,France,95915 CEDEX 2,1
151,928,Blue Bill Park,Heerlen,Quebec,Netherlands,6414,1
152,178,Summerview,Ciasna,Nova Scotia,Poland,42-793,1
153,10,John Wall,Słotowa,Alberta,Poland,39-225,1
154,902,Esker,Cisiec,Alberta,Poland,34-383,1
155,391,Fairview,Żarki,British Columbia,Poland,42-310,1
156,666,Bartelt,Darłowo,New Brunswick,Poland,76-153,1
157,447,Scott,Bujaków,Quebec,Poland,43-356,1
158,191,Burrows,Zubrzyca Dolna,Prince Edward Island,Poland,34-481,1
159,751,Anthes,Pont-à-Mousson,Manitoba,France,54704 CEDEX,1
160,669,Dexter,Frydek,Nova Scotia,Poland,43-229,1
161,50,Birchwood,Konin,British Columbia,Poland,62-510,1
162,571,Dakota,Kobiernice,New Brunswick,Poland,43-356,1
163,439,Sutherland,Czeremcha,New Brunswick,Poland,17-240,1
164,386,Kings,Lubin,Newfoundland and Labrador,Poland,59-339,1
165,285,Stang,Issy-les-Moulineaux,Nova Scotia,France,92782 CEDEX 9,1
166,899,Logan,Jeziora Wielkie,Alberta,Poland,88-324,1
167,992,Mesta,Saint-Maurice-l'Exil,Quebec,France,38554 CEDEX,1
168,381,Center,Oświęcim,Quebec,Poland,32-610,1
169,148,Stephen,Świecie nad Osą,Ontario,Poland,28-425,1
170,865,Hollow Ridge,Creil,Nova Scotia,France,60315 CEDEX 5,1
171,79,Hoepker,Mosty,Prince Edward Island,Poland,84-353,1
172,953,Sunnyside,Rumilly,Nova Scotia,France,74154 CEDEX,1
173,78,Blackbird,Raciążek,Quebec,Poland,87-721,1
174,995,Leroy,Auxerre,Saskatchewan,France,89024 CEDEX,1
175,215,Dahle,Nice,British Columbia,France,06173 CEDEX 2,1
176,639,Melrose,Lens,Newfoundland and Labrador,France,62335 CEDEX,1
177,257,Morningstar,Chartres,Newfoundland and Labrador,France,28901 CEDEX 9,1
178,478,Montana,Futuroscope,Ontario,France,86964 CEDEX,1
179,532,Paget,Cestas,Ontario,France,33614 CEDEX,1
180,755,Leroy,Dijon,Alberta,France,21040 CEDEX,1
181,558,Delladonna,Saverne,Newfoundland and Labrador,France,67704 CEDEX,1
182,521,Oak Valley,Quimper,Ontario,France,29563 CEDEX 9,1
183,105,Manufacturers,Lomme,Newfoundland and Labrador,France,59463 CEDEX,1
184,666,Stuart,Villeneuve-la-Garenne,New Brunswick,France,92398 CEDEX,1
185,385,Tennessee,Courbevoie,Ontario,France,92404 CEDEX,1
186,790,Brickson Park,Nice,Manitoba,France,06357 CEDEX 4,1
187,213,Sunbrook,Lyon,Saskatchewan,France,69212 CEDEX 03,1
188,615,Onsgard,Saint-Brieuc,Alberta,France,22042 CEDEX 2,1
189,213,Miller,Sułoszowa,Saskatchewan,Poland,32-045,1
190,946,Westend,Brie-Comte-Robert,Prince Edward Island,France,77254 CEDEX,1
191,544,Carioca,Vitry-sur-Seine,Manitoba,France,94785 CEDEX,1
192,91,Graedel,Mérignac,Prince Edward Island,France,33699 CEDEX,1
193,67,Carpenter,Tarbes,Newfoundland and Labrador,France,65951 CEDEX 9,1
194,275,Mayer,Nantes,Ontario,France,44036 CEDEX 1,1
195,782,Miller,Berlin,Prince Edward Island,Germany,12045,1
196,584,Packers,Potęgowo,Quebec,Poland,76-230,1
197,726,Lindbergh,Gorzów Śląski,British Columbia,Poland,46-310,1
198,81,Schmedeman,Skomlin,British Columbia,Poland,98-346,1
199,103,Rowland,Pontarlier,New Brunswick,France,25304 CEDEX,1
200,409,Ridgeview,Terneuzen,Nova Scotia,Netherlands,4534,1
201,195,Schmedeman,Chotcza,Nova Scotia,Poland,81-035,1
202,547,Heath,Ropa,Newfoundland and Labrador,Poland,38-312,1
203,395,Sutherland,Przelewice,New Brunswick,Poland,74-210,1
204,498,Mesta,Teruel,New Brunswick,Spain,44071,1
205,66,Northridge,Hamburg,Manitoba,Germany,20249,1
206,114,Beilfuss,Tournai,British Columbia,Belgium,7504,1
207,164,Talisman,Grenoble,Quebec,France,38009 CEDEX 1,1
208,718,Rutledge,Reda,New Brunswick,Poland,84-240,1
209,760,Elka,Vineuil,Newfoundland and Labrador,France,41355 CEDEX,1
210,803,East,Arras,Quebec,France,62036 CEDEX,1
211,521,Burning Wood,Moryń,Alberta,Poland,74-503,1
212,448,Jenna,Brody,Quebec,Poland,68-343,1
213,636,Lakewood Gardens,Loudun,New Brunswick,France,86206 CEDEX,1
214,465,Gale,Marianowo,British Columbia,Poland,73-121,1
215,167,Elmside,Saint-Pierre-Montlimart,Nova Scotia,France,49117 CEDEX,1
216,615,Oxford,Sedan,Nova Scotia,France,08209 CEDEX,1
217,844,Northfield,Rotterdam postbusnummers,Prince Edward Island,Netherlands,3004,1
218,773,Golf View,Klwów,British Columbia,Poland,26-415,1
219,863,Chive,Klonowa,Nova Scotia,Poland,98-273,1
220,236,Ridgeview,Węgry,Alberta,Poland,46-022,1
221,75,Manitowish,Berlin,Newfoundland and Labrador,Germany,13509,1
222,688,Hauk,Saint-Pierre-Montlimart,Alberta,France,49117 CEDEX,1
223,105,Brown,Jabłonowo Pomorskie,Manitoba,Poland,87-330,1
224,44,Cardinal,Nijmegen,Manitoba,Netherlands,6529,1
225,929,Ruskin,Darłowo,British Columbia,Poland,76-153,1
226,573,Dahle,Apeldoorn,Nova Scotia,Netherlands,7319,1
227,884,Moland,Le Mans,Prince Edward Island,France,72029 CEDEX 2,1
228,585,Badeau,Périgueux,British Columbia,France,24016 CEDEX,1
229,11,Luster,Paris 06,Quebec,France,75280 CEDEX 06,1
230,120,Pond,Avon,Prince Edward Island,France,77214 CEDEX,1
231,668,North,Granville,British Columbia,France,50404 CEDEX,1
232,808,Emmet,Hellevoetsluis,Ontario,Netherlands,3224,1
233,690,Melrose,Eindhoven,New Brunswick,Netherlands,5644,1
234,51,Dwight,Mülheim an der Ruhr,Ontario,Germany,45473,1
235,97,Becker,Vitry-sur-Seine,British Columbia,France,94785 CEDEX,1
236,72,Pierstorff,Sedan,Alberta,France,08209 CEDEX,1
237,198,Carioca,Ełk,Prince Edward Island,Poland,19-305,1
238,109,Lake View,Sieradza,Quebec,Poland,33-240,1
239,804,Gateway,Marseille,Alberta,France,13444 CEDEX 06,1
240,236,Jay,Évry,Newfoundland and Labrador,France,91024 CEDEX,1
241,942,Loftsgordon,Wuppertal,New Brunswick,Germany,42349,1
242,19,Northland,Paris 11,British Columbia,France,75128 CEDEX 11,1
243,566,Homewood,Épinal,Ontario,France,88009 CEDEX,1
244,870,Spohn,Paris La Défense,Manitoba,France,92980 CEDEX,1
245,401,Moose,Ołpiny,Quebec,Poland,38-247,1
246,572,Clove,Nijmegen,British Columbia,Netherlands,6539,1
247,815,Garrison,Nijmegen,Ontario,Netherlands,6529,1
248,566,Jackson,Épinal,Saskatchewan,France,88020 CEDEX,1
249,665,Pine View,Nieszawa,Quebec,Poland,87-730,1
250,251,Myrtle,Białaczów,Quebec,Poland,26-307,1
251,253,Veith,Cadiz,Nova Scotia,Spain,11010,1
252,571,Pennsylvania,Rokietnica,Newfoundland and Labrador,Poland,62-090,1
253,234,Memorial,Nowy Tomyśl,Ontario,Poland,64-300,1
254,431,Katie,Bogatynia,British Columbia,Poland,59-920,1
255,275,Blue Bill Park,Saint-Lô,Manitoba,France,50951 CEDEX 9,1
256,891,Pennsylvania,Montpellier,New Brunswick,France,34064 CEDEX 2,1
257,975,Oneill,Bezons,Newfoundland and Labrador,France,95874 CEDEX,1
258,306,Evergreen,Latowicz,Manitoba,Poland,05-334,1
259,260,Sherman,Sélestat,New Brunswick,France,67609 CEDEX,1
260,54,Hudson,Rotterdam postbusnummers,New Brunswick,Netherlands,3009,1
261,209,Pierstorff,Widuchowa,Alberta,Poland,74-120,1
262,221,Bayside,Neuilly-sur-Seine,Saskatchewan,France,92527 CEDEX,1
263,686,Fallview,Zbrosławice,Newfoundland and Labrador,Poland,42-674,1
264,416,Knutson,Le Havre,Quebec,France,76086 CEDEX,1
265,271,Fisk,Grębów,Quebec,Poland,39-410,1
266,999,Shoshone,Besançon,New Brunswick,France,25024 CEDEX,1
267,761,Packers,Smętowo Graniczne,Quebec,Poland,83-230,1
268,695,Cambridge,Łagów,Manitoba,Poland,66-220,1
269,676,Atwood,Tours,Nova Scotia,France,37205 CEDEX 3,1
270,564,Sauthoff,Walichnowy,Manitoba,Poland,85-056,1
271,82,Dawn,La Roche-sur-Yon,British Columbia,France,85923 CEDEX 9,1
272,949,Westend,Gardanne,Manitoba,France,13548 CEDEX,1
273,808,4th,Damnica,Prince Edward Island,Poland,76-231,1
274,958,Lunder,Schiedam postbusnummers,Manitoba,Netherlands,3109,1
275,606,Prairie Rose,Bruxelles,Nova Scotia,Belgium,1050,1
276,290,Declaration,Nîmes,Nova Scotia,France,30006 CEDEX 4,1
277,15,Rowland,Wetzlar,Alberta,Germany,35581,1
278,67,Caliangt,Nowe,Prince Edward Island,Poland,99-333,1
279,264,Prairieview,Paris 16,British Columbia,France,75220 CEDEX 16,1
280,665,Menomonie,Ponikiew,Manitoba,Poland,34-206,1
281,724,Goodland,Mirocin,Nova Scotia,Poland,37-565,1
282,376,Steensland,Rybie,Manitoba,Poland,05-850,1
283,608,Dakota,Lipce Reymontowskie,Quebec,Poland,96-127,1
284,889,Rockefeller,Turze Pole,Newfoundland and Labrador,Poland,36-212,1
285,113,Roxbury,Lille,Ontario,France,59715 CEDEX 9,1
286,560,Katie,Le Havre,British Columbia,France,76086 CEDEX,1
287,111,Mosinee,Montpellier,Quebec,France,34064 CEDEX 2,1
288,165,Independence,Zakliczyn,Manitoba,Poland,32-840,1
289,216,Express,Miłosław,Alberta,Poland,62-320,1
290,443,Anzinger,Apeldoorn,Quebec,Netherlands,7309,1
291,383,Lake View,Béziers,Manitoba,France,34504 CEDEX,1
292,766,Bultman,Angoulême,Ontario,France,16999 CEDEX 9,1
293,884,Hollow Ridge,Toulouse,Nova Scotia,France,31079 CEDEX 5,1
294,743,Nova,Mogilany,Ontario,Poland,32-031,1
295,895,Farwell,Krzyżanów,New Brunswick,Poland,99-314,1
296,140,Fieldstone,Nowy Tomyśl,British Columbia,Poland,64-300,1
297,787,Dahle,Konstantynów,Nova Scotia,Poland,21-543,1
298,313,Mayer,Issoudun,Prince Edward Island,France,36104 CEDEX,1
299,697,Iowa,Lorient,Manitoba,France,56109 CEDEX,1
300,903,Dayton,Sączów,Quebec,Poland,42-595,1
301,649,Mockingbird,Janowice,Quebec,Poland,33-115,1
302,975,Ridgeview,Drezdenko,Saskatchewan,Poland,66-530,1
303,321,Golf View,Drawsko Pomorskie,Prince Edward Island,Poland,78-500,1
304,431,Sullivan,Bogatynia,Prince Edward Island,Poland,59-920,1
305,499,Maple,Tilburg,British Columbia,Netherlands,5044,1
306,714,Lerdahl,Mirecourt,Quebec,France,88504 CEDEX,1
307,959,Dwight,Osnabrück,Alberta,Germany,49082,1
308,644,Maple,Paris La Défense,Prince Edward Island,France,92041 CEDEX,1
309,254,John Wall,Palmas De Gran Canaria, Las,Alberta,Spain,35005,1
310,714,Quincy,Sallanches,Alberta,France,74704 CEDEX,1
311,943,Starling,Bagnères-de-Bigorre,Manitoba,France,65204 CEDEX,1
312,845,Almo,Hamburg,Prince Edward Island,Germany,22769,1
313,838,Bay,Limoges,British Columbia,France,87077 CEDEX 9,1
314,453,Vidon,Łodygowice,Prince Edward Island,Poland,34-325,1
315,625,Armistice,Clamart,Saskatchewan,France,92144 CEDEX,1
316,730,Westerfield,Bègles,Newfoundland and Labrador,France,33324 CEDEX,1
317,847,Union,Głuchów,Saskatchewan,Poland,96-130,1
318,220,Eagan,Geldrop,Prince Edward Island,Netherlands,5664,1
319,578,Crescent Oaks,Klimontów,New Brunswick,Poland,32-112,1
320,102,Sunnyside,Paris 13,Newfoundland and Labrador,France,75243 CEDEX 13,1
321,516,Shoshone,Dijon,Alberta,France,21051 CEDEX,1
322,715,Goodland,Enschede,Manitoba,Netherlands,7534,1
323,864,Johnson,Wyszogród,Quebec,Poland,09-450,1
324,846,Ronald Regan,Namur,Prince Edward Island,Belgium,5100,1
325,787,Esch,Reims,Prince Edward Island,France,51571 CEDEX 2,1
326,550,Fallview,Laxou,Newfoundland and Labrador,France,54529 CEDEX,1
327,78,Esker,Lubasz,Quebec,Poland,64-720,1
328,64,Alpine,Brunssum,Quebec,Netherlands,6444,1
329,135,Esch,Zielonka,Prince Edward Island,Poland,05-220,1
330,435,Browning,Clermont-Ferrand,Quebec,France,63043 CEDEX 2,1
331,378,Pond,Hamburg,Nova Scotia,Germany,22041,1
332,12,Moulton,Versailles,Ontario,France,78014 CEDEX,1
333,939,Judy,Cergy-Pontoise,Ontario,France,95011 CEDEX,1
334,607,Dennis,Marseille,New Brunswick,France,13456 CEDEX 13,1
335,668,Hallows,Trzciana,Alberta,Poland,36-071,1
336,500,Forest Dale,Sępólno Krajeńskie,Saskatchewan,Poland,89-400,1
337,675,Basil,Mrzeżyno,New Brunswick,Poland,72-330,1
338,368,Parkside,Rędziny,Ontario,Poland,42-242,1
339,452,Almo,Angers,New Brunswick,France,49066 CEDEX 01,1
340,152,North,Metz,Nova Scotia,France,57751 CEDEX 9,1
341,793,Truax,Wschowa,British Columbia,Poland,67-400,1
342,26,Oriole,Paris 19,Prince Edward Island,France,75166 CEDEX 19,1
343,908,Norway Maple,Brok,Alberta,Poland,07-306,1
344,168,Towne,Vigo,Manitoba,Spain,36210,1
345,982,Chinook,Montigny-lès-Metz,Newfoundland and Labrador,France,57954 CEDEX,1
346,943,Scofield,Powidz,Ontario,Poland,62-430,1
347,700,Bayside,Paris 07,Ontario,France,75326 CEDEX 07,1
348,815,Farragut,Lomme,Manitoba,France,59468 CEDEX,1
349,219,Sullivan,Chocianów,Newfoundland and Labrador,Poland,59-141,1
350,910,Reinke,Siedlce,Ontario,Poland,33-321,1
351,446,Dovetail,Osiek nad Notecią,Quebec,Poland,75-571,1
352,84,Texas,Sophia Antipolis,Nova Scotia,France,06928 CEDEX,1
353,985,Coleman,Młynary,Manitoba,Poland,14-420,1
354,956,Farmco,Villeneuve-d'Ascq,Prince Edward Island,France,59663 CEDEX,1
355,366,Buena Vista,Krosno,Saskatchewan,Poland,38-411,1
356,552,Arizona,Stuttgart Stuttgart-Mitte,Manitoba,Germany,70180,1
357,526,Crest Line,Évry,Alberta,France,91982 CEDEX 9,1
358,70,Hooker,Wydminy,Saskatchewan,Poland,11-510,1
359,33,Petterle,Heilbronn,British Columbia,Germany,74080,1
360,427,Mayer,Dijon,Alberta,France,21900 CEDEX 9,1
361,931,Tomscot,Roissy Charles-de-Gaulle,Alberta,France,95959 CEDEX 2,1
362,847,Sundown,Wielka Nieszawka,Nova Scotia,Poland,87-165,1
363,429,Coolidge,Colmar,Newfoundland and Labrador,France,68020 CEDEX,1
364,399,Cordelia,Saint-Nazaire,Quebec,France,44604 CEDEX,1
365,102,Daystar,Orléans,Ontario,France,45969 CEDEX 9,1
366,428,Johnson,Alkmaar,British Columbia,Netherlands,1814,1
367,577,Steensland,Kluczbork,New Brunswick,Poland,46-203,1
368,234,Swallow,Lleida,Newfoundland and Labrador,Spain,25193,1
369,36,Continental,Drawsko,Ontario,Poland,64-733,1
370,723,Stone Corner,Heemstede,Newfoundland and Labrador,Netherlands,2104,1
371,894,Onsgard,Żórawina,Newfoundland and Labrador,Poland,55-020,1
372,923,Becker,Wierzawice,Alberta,Poland,37-306,1
373,193,Mandrake,Tulle,Alberta,France,19011 CEDEX,1
374,303,Park Meadow,Saint-Quentin-en-Yvelines,British Columbia,France,78067 CEDEX,1
375,817,Memorial,Żurowa,Saskatchewan,Poland,38-323,1
376,748,Merchant,Saint-Laurent-Blangy,Ontario,France,62055 CEDEX,1
377,604,Old Shore,Utrecht (stad),Manitoba,Netherlands,3530,1
378,909,Lyons,Stare Miasto,Nova Scotia,Poland,62-571,1
379,303,Spaight,Gostyń,Manitoba,Poland,63-816,1
380,909,Rockefeller,Montigny-lès-Metz,Prince Edward Island,France,57954 CEDEX,1
381,972,5th,Solec Nad Wisłą,Nova Scotia,Poland,80-201,1
382,868,Morningstar,La Valette-du-Var,Alberta,France,83164 CEDEX,1
383,255,Maywood,Sucha,Alberta,Poland,89-525,1
384,16,La Follette,Lyski,Alberta,Poland,44-295,1
385,345,Gateway,Głogówek,Manitoba,Poland,48-250,1
386,756,Ohio,Dijon,Ontario,France,21030 CEDEX,1
387,225,Vernon,Magdeburg,British Columbia,Germany,39130,1
388,649,Porter,Versailles,British Columbia,France,78020 CEDEX,1
389,174,Packers,Studzienice,Newfoundland and Labrador,Poland,77-143,1
390,314,Arizona,Czernikowo,British Columbia,Poland,87-640,1
391,150,6th,Champagnole,British Columbia,France,39304 CEDEX,1
392,582,Mockingbird,Brzyska,Saskatchewan,Poland,38-212,1
393,117,Drewry,Lyon,New Brunswick,France,69281 CEDEX 01,1
394,437,Messerschmidt,Jedlińsk,New Brunswick,Poland,26-660,1
395,287,Doe Crossing,Saint-Pierre-Montlimart,Quebec,France,49117 CEDEX,1
396,586,Butternut,Noisy-le-Grand,Manitoba,France,93883 CEDEX,1
397,132,Stone Corner,Rungis,Nova Scotia,France,94593 CEDEX 2,1
398,352,Aberg,Marseille,Quebec,France,13343 CEDEX 15,1
399,12,Paget,Studzionka,Saskatchewan,Poland,43-245,1
400,144,Ryan,Vannes,Manitoba,France,56004 CEDEX,1
401,735,Ludington,Dillenburg,Ontario,Germany,35687,1
402,902,Dixon,Houten,British Columbia,Netherlands,3994,1
